event_id,event_type,chromosome,strand,gene_name,common_start,short_exon_end,long_exon_end,sample,psi,inclusion_reads,exclusion_reads,total_reads,confidence
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_3_Aligned.sortedByCoord.out,0.6762152225023466,17,16,33,high
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_4_Aligned.sortedByCoord.out,0.7427033491165504,19,21,40,high
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_5_Aligned.sortedByCoord.out,0.16657219332596082,13,14,27,high
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_6_Aligned.sortedByCoord.out,0.5907872280997732,18,11,29,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_1_Aligned.sortedByCoord.out,0.724790803484035,28,14,42,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_2_Aligned.sortedByCoord.out,0.45731367376028687,27,14,41,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_3_Aligned.sortedByCoord.out,0.45855656033887005,16,13,29,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_4_Aligned.sortedByCoord.out,0.38154833292825285,16,20,36,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_5_Aligned.sortedByCoord.out,0.7352306377558201,16,12,28,high
A5SS_chr2_33780875_6,A5SS,chr2,+,GENE_0006,33780875,33781375,33781465,sample_6_Aligned.sortedByCoord.out,0.09090293637509234,23,16,39,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_1_Aligned.sortedByCoord.out,0.6329418909443546,16,23,39,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_2_Aligned.sortedByCoord.out,0.7628968950868015,14,12,26,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_3_Aligned.sortedByCoord.out,0.3722523049779764,21,12,33,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_4_Aligned.sortedByCoord.out,0.7589718605751787,25,18,43,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_5_Aligned.sortedByCoord.out,0.2222540271465473,16,12,28,high
A5SS_chr22_2455919_7,A5SS,chr22,+,GENE_0007,2455919,2456419,2456559,sample_6_Aligned.sortedByCoord.out,0.3947902066400364,27,20,47,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_1_Aligned.sortedByCoord.out,0.5303968233280406,25,10,35,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_2_Aligned.sortedByCoord.out,0.518070486483296,15,18,33,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_3_Aligned.sortedByCoord.out,0.028692111987256783,17,16,33,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_4_Aligned.sortedByCoord.out,0.7590150892548407,20,17,37,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_5_Aligned.sortedByCoord.out,0.8171039777016492,20,14,34,high
A5SS_chr12_40669128_8,A5SS,chr12,+,GENE_0008,40669128,40669628,40669806,sample_6_Aligned.sortedByCoord.out,0.10893387910082643,22,27,49,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_1_Aligned.sortedByCoord.out,0.7677660150438631,13,17,30,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_2_Aligned.sortedByCoord.out,0.14267876765724793,16,14,30,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_3_Aligned.sortedByCoord.out,0.46742358201605044,14,20,34,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_4_Aligned.sortedByCoord.out,0.3432430091818907,13,15,28,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_5_Aligned.sortedByCoord.out,0.8284729085176624,23,12,35,high
A5SS_chr13_33292389_9,A5SS,chr13,-,GENE_0009,33292389,33292889,33292987,sample_6_Aligned.sortedByCoord.out,0.09140757593413829,21,17,38,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_1_Aligned.sortedByCoord.out,0.676538667488725,25,20,45,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_2_Aligned.sortedByCoord.out,0.6584525981621911,15,18,33,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_3_Aligned.sortedByCoord.out,0.4739200570948279,16,15,31,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_4_Aligned.sortedByCoord.out,0.5854238590056227,19,12,31,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_5_Aligned.sortedByCoord.out,0.1333173221928436,18,11,29,high
A5SS_chr11_36225318_10,A5SS,chr11,-,GENE_0010,36225318,36225818,36225897,sample_6_Aligned.sortedByCoord.out,0.4297661954393904,12,13,25,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_1_Aligned.sortedByCoord.out,0.42964062904827827,23,19,42,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_2_Aligned.sortedByCoord.out,0.8196144826363364,25,15,40,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_3_Aligned.sortedByCoord.out,0.6118319602145099,24,22,46,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_4_Aligned.sortedByCoord.out,0.44142763155950765,16,23,39,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_5_Aligned.sortedByCoord.out,0.3816789176717446,24,15,39,high
A5SS_chr15_11313547_11,A5SS,chr15,-,GENE_0011,11313547,11314047,11314144,sample_6_Aligned.sortedByCoord.out,0.6063420292206622,22,18,40,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_1_Aligned.sortedByCoord.out,0.8677760494864081,16,13,29,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_2_Aligned.sortedByCoord.out,0.3577402914276366,19,14,33,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_3_Aligned.sortedByCoord.out,0.5287483817389431,26,12,38,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_4_Aligned.sortedByCoord.out,0.9235390057182892,23,18,41,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_5_Aligned.sortedByCoord.out,0.1916954132157306,17,18,35,high
A5SS_chr3_28357471_12,A5SS,chr3,-,GENE_0012,28357471,28357971,28358035,sample_6_Aligned.sortedByCoord.out,0.5979735052738433,18,16,34,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_1_Aligned.sortedByCoord.out,0.7843248638258093,18,16,34,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_2_Aligned.sortedByCoord.out,0.17609791891415166,21,24,45,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_3_Aligned.sortedByCoord.out,0.22043161982743623,20,21,41,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_4_Aligned.sortedByCoord.out,0.31687221948684574,12,15,27,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_5_Aligned.sortedByCoord.out,0.691471809202078,22,14,36,high
A5SS_chr14_26254371_13,A5SS,chr14,-,GENE_0013,26254371,26254871,26254956,sample_6_Aligned.sortedByCoord.out,0.2805026270128172,22,15,37,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_1_Aligned.sortedByCoord.out,0.14520707945286818,31,11,42,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_2_Aligned.sortedByCoord.out,0.19931413930146333,26,22,48,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_3_Aligned.sortedByCoord.out,0.34970778344757575,18,15,33,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_4_Aligned.sortedByCoord.out,0.5125897639501636,18,11,29,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_5_Aligned.sortedByCoord.out,0.3590686395092279,24,19,43,high
A5SS_chr15_18177022_14,A5SS,chr15,-,GENE_0014,18177022,18177522,18177653,sample_6_Aligned.sortedByCoord.out,0.2954384311478586,20,16,36,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_1_Aligned.sortedByCoord.out,0.44329195816629086,28,15,43,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_2_Aligned.sortedByCoord.out,0.7081493167236719,16,17,33,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_3_Aligned.sortedByCoord.out,0.8990186821980309,18,14,32,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_4_Aligned.sortedByCoord.out,0.6490178780321333,22,17,39,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_5_Aligned.sortedByCoord.out,0.5346541673599554,20,19,39,high
A5SS_chr18_31854182_15,A5SS,chr18,-,GENE_0015,31854182,31854682,31854772,sample_6_Aligned.sortedByCoord.out,0.4188367671993231,24,23,47,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_1_Aligned.sortedByCoord.out,0.5216780140657423,20,18,38,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_2_Aligned.sortedByCoord.out,0.44902940580690043,18,16,34,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_3_Aligned.sortedByCoord.out,0.3079953813539449,24,24,48,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_4_Aligned.sortedByCoord.out,0.904341872675641,22,14,36,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_5_Aligned.sortedByCoord.out,0.5709965468501129,23,15,38,high
A5SS_chr13_29878612_16,A5SS,chr13,-,GENE_0016,29878612,29879112,29879162,sample_6_Aligned.sortedByCoord.out,0.5311845777251484,26,15,41,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_1_Aligned.sortedByCoord.out,0.40399674671875174,22,13,35,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_2_Aligned.sortedByCoord.out,0.7575112944578563,17,12,29,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_3_Aligned.sortedByCoord.out,0.572737187541334,19,26,45,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_4_Aligned.sortedByCoord.out,0.34293487348567364,22,19,41,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_5_Aligned.sortedByCoord.out,0.07149576410351242,20,20,40,high
A5SS_chr2_48261418_17,A5SS,chr2,+,GENE_0017,48261418,48261918,48261982,sample_6_Aligned.sortedByCoord.out,0.8277407817289767,15,18,33,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_1_Aligned.sortedByCoord.out,0.5256572989512469,19,14,33,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_2_Aligned.sortedByCoord.out,0.2415875997960248,20,12,32,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_3_Aligned.sortedByCoord.out,0.49211899903681194,18,21,39,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_4_Aligned.sortedByCoord.out,0.10064992622628656,17,9,26,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_5_Aligned.sortedByCoord.out,0.42256971517107156,22,19,41,high
A5SS_chr17_32497689_18,A5SS,chr17,+,GENE_0018,32497689,32498189,32498259,sample_6_Aligned.sortedByCoord.out,0.7048839015434792,22,18,40,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_1_Aligned.sortedByCoord.out,0.8325407477669969,17,18,35,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_2_Aligned.sortedByCoord.out,0.7772524417238473,20,19,39,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_3_Aligned.sortedByCoord.out,0.8925007015001759,26,15,41,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_4_Aligned.sortedByCoord.out,0.20866494818309692,24,8,32,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_5_Aligned.sortedByCoord.out,0.6463136051359211,14,13,27,high
A5SS_chr19_37037552_19,A5SS,chr19,+,GENE_0019,37037552,37038052,37038141,sample_6_Aligned.sortedByCoord.out,0.18797412752333564,19,13,32,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_1_Aligned.sortedByCoord.out,0.06502127638691435,14,13,27,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_2_Aligned.sortedByCoord.out,0.3497447208873518,21,12,33,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_3_Aligned.sortedByCoord.out,0.36069179752240876,27,13,40,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_4_Aligned.sortedByCoord.out,0.24497141893967747,25,12,37,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_5_Aligned.sortedByCoord.out,0.3062644402869124,13,14,27,high
A5SS_chr8_8197593_20,A5SS,chr8,+,GENE_0020,8197593,8198093,8198182,sample_6_Aligned.sortedByCoord.out,0.39893860347835464,25,16,41,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_1_Aligned.sortedByCoord.out,0.5768049096462403,12,21,33,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_2_Aligned.sortedByCoord.out,0.7445947854067186,16,18,34,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_3_Aligned.sortedByCoord.out,0.5696156335682834,20,18,38,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_4_Aligned.sortedByCoord.out,0.11175391062664092,21,17,38,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_5_Aligned.sortedByCoord.out,0.09001070714057809,23,9,32,high
A5SS_chr11_5065087_21,A5SS,chr11,-,GENE_0021,5065087,5065587,5065749,sample_6_Aligned.sortedByCoord.out,0.4979775218868922,19,10,29,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_1_Aligned.sortedByCoord.out,0.21066670505801627,25,7,32,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_2_Aligned.sortedByCoord.out,0.23449948330269926,18,11,29,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_3_Aligned.sortedByCoord.out,0.24931714527556448,24,20,44,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_4_Aligned.sortedByCoord.out,0.6559379656580452,22,11,33,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_5_Aligned.sortedByCoord.out,0.525606783332848,21,15,36,high
A5SS_chr20_45824886_22,A5SS,chr20,-,GENE_0022,45824886,45825386,45825504,sample_6_Aligned.sortedByCoord.out,0.37726791519249675,23,5,28,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_1_Aligned.sortedByCoord.out,0.5548003245798453,18,23,41,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_2_Aligned.sortedByCoord.out,0.5878435417031291,15,10,25,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_3_Aligned.sortedByCoord.out,0.1537391409340079,14,11,25,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_4_Aligned.sortedByCoord.out,0.09269874365024355,22,19,41,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_5_Aligned.sortedByCoord.out,0.563673579264398,21,6,27,high
A5SS_chr11_48735523_23,A5SS,chr11,+,GENE_0023,48735523,48736023,48736208,sample_6_Aligned.sortedByCoord.out,0.5399400690996741,25,13,38,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_1_Aligned.sortedByCoord.out,0.8841758489335305,24,20,44,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_2_Aligned.sortedByCoord.out,0.3366887801946198,19,17,36,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_3_Aligned.sortedByCoord.out,0.06865188704449554,14,13,27,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_4_Aligned.sortedByCoord.out,0.91373249116758,32,10,42,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_5_Aligned.sortedByCoord.out,0.46786900538205706,23,18,41,high
A5SS_chr9_31917223_24,A5SS,chr9,-,GENE_0024,31917223,31917723,31917815,sample_6_Aligned.sortedByCoord.out,0.22793855966312496,13,14,27,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_1_Aligned.sortedByCoord.out,0.3257998947737048,16,15,31,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_2_Aligned.sortedByCoord.out,0.5240982279721864,18,17,35,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_3_Aligned.sortedByCoord.out,0.5533641389045242,17,5,22,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_4_Aligned.sortedByCoord.out,0.9711090743175815,24,20,44,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_5_Aligned.sortedByCoord.out,0.6624193071864432,17,20,37,high
A5SS_chr21_12452865_25,A5SS,chr21,-,GENE_0025,12452865,12453365,12453463,sample_6_Aligned.sortedByCoord.out,0.21535400909314847,18,13,31,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_1_Aligned.sortedByCoord.out,0.7798461602794718,26,14,40,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_2_Aligned.sortedByCoord.out,0.5147568402714675,20,13,33,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_3_Aligned.sortedByCoord.out,0.6151139444746783,22,13,35,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_4_Aligned.sortedByCoord.out,0.7755894221142254,20,16,36,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_5_Aligned.sortedByCoord.out,0.4190168227750456,18,16,34,high
A5SS_chr12_11037834_26,A5SS,chr12,+,GENE_0026,11037834,11038334,11038521,sample_6_Aligned.sortedByCoord.out,0.4270250913967255,11,17,28,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_1_Aligned.sortedByCoord.out,0.675521111759676,14,18,32,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_2_Aligned.sortedByCoord.out,0.7654711443169915,22,8,30,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_3_Aligned.sortedByCoord.out,0.4088018555108825,15,14,29,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_4_Aligned.sortedByCoord.out,0.02976751176609505,18,11,29,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_5_Aligned.sortedByCoord.out,0.30244954328985235,12,12,24,high
A5SS_chr10_25447320_27,A5SS,chr10,+,GENE_0027,25447320,25447820,25448014,sample_6_Aligned.sortedByCoord.out,0.2737789957623691,17,23,40,high
A5SS_chr12_2427006_28,A5SS,chr12,+,GENE_0028,2427006,2427506,2427559,sample_1_Aligned.sortedByCoord.out,0.8020802302170934,16,15,31,high
