sample,chromosome,start,end,strand,unique_reads,multi_reads,total_reads,junction_type,junction_id
sample_1_Aligned.sortedByCoord.out,chr17,33091910,33097186,-,4,0,4,novel,chr17:33091910-33097186
sample_1_Aligned.sortedByCoord.out,chr7,1600461,1610297,-,17,2,19,known,chr7:1600461-1610297
sample_1_Aligned.sortedByCoord.out,chr11,3246206,3256178,-,12,2,14,known,chr11:3246206-3256178
sample_1_Aligned.sortedByCoord.out,chr4,46733626,46736878,+,11,1,12,known,chr4:46733626-46736878
sample_1_Aligned.sortedByCoord.out,chr8,16797395,16798642,-,10,4,14,known,chr8:16797395-16798642
sample_1_Aligned.sortedByCoord.out,chr14,32892056,32898525,-,7,0,7,known,chr14:32892056-32898525
sample_1_Aligned.sortedByCoord.out,chr13,40505737,40515696,+,13,2,15,known,chr13:40505737-40515696
sample_1_Aligned.sortedByCoord.out,chr3,47262273,47265840,-,9,6,15,known,chr3:47262273-47265840
sample_1_Aligned.sortedByCoord.out,chr5,22248995,22258514,+,10,2,12,known,chr5:22248995-22258514
sample_1_Aligned.sortedByCoord.out,chr18,25674528,25683377,+,7,3,10,known,chr18:25674528-25683377
sample_1_Aligned.sortedByCoord.out,chr2,45816462,45824764,+,16,3,19,known,chr2:45816462-45824764
sample_1_Aligned.sortedByCoord.out,chr20,18030412,18034902,-,10,2,12,known,chr20:18030412-18034902
sample_1_Aligned.sortedByCoord.out,chr11,23277021,23284001,-,9,4,13,known,chr11:23277021-23284001
sample_1_Aligned.sortedByCoord.out,chr2,46431181,46433932,-,12,1,13,novel,chr2:46431181-46433932
sample_1_Aligned.sortedByCoord.out,chr5,47712931,47718589,-,13,2,15,known,chr5:47712931-47718589
sample_1_Aligned.sortedByCoord.out,chr14,36215680,36219961,+,7,3,10,known,chr14:36215680-36219961
sample_1_Aligned.sortedByCoord.out,chr19,21290658,21293072,+,8,5,13,known,chr19:21290658-21293072
sample_1_Aligned.sortedByCoord.out,chr16,15551922,15554961,-,9,3,12,known,chr16:15551922-15554961
sample_1_Aligned.sortedByCoord.out,chr16,27441847,27445874,+,7,3,10,known,chr16:27441847-27445874
sample_1_Aligned.sortedByCoord.out,chr16,34000455,34004431,-,10,4,14,known,chr16:34000455-34004431
sample_1_Aligned.sortedByCoord.out,chr18,28739531,28748703,-,8,1,9,novel,chr18:28739531-28748703
sample_1_Aligned.sortedByCoord.out,chr14,17078124,17087763,-,8,5,13,known,chr14:17078124-17087763
sample_1_Aligned.sortedByCoord.out,chr7,36952741,36961409,-,10,0,10,novel,chr7:36952741-36961409
sample_1_Aligned.sortedByCoord.out,chr22,27539462,27548696,-,9,3,12,known,chr22:27539462-27548696
sample_1_Aligned.sortedByCoord.out,chr17,20040086,20041015,-,7,3,10,known,chr17:20040086-20041015
sample_1_Aligned.sortedByCoord.out,chr7,1533601,1542708,+,6,2,8,known,chr7:1533601-1542708
sample_1_Aligned.sortedByCoord.out,chr16,38275506,38276868,+,7,4,11,known,chr16:38275506-38276868
sample_1_Aligned.sortedByCoord.out,chr15,19467577,19475551,+,13,3,16,known,chr15:19467577-19475551
sample_1_Aligned.sortedByCoord.out,chr11,11812375,11820833,+,10,1,11,known,chr11:11812375-11820833
sample_1_Aligned.sortedByCoord.out,chr21,6427598,6435622,-,12,2,14,known,chr21:6427598-6435622
sample_1_Aligned.sortedByCoord.out,chr10,24787071,24791822,+,8,1,9,known,chr10:24787071-24791822
sample_1_Aligned.sortedByCoord.out,chr10,12205117,12205993,+,7,0,7,known,chr10:12205117-12205993
sample_1_Aligned.sortedByCoord.out,chr13,14059741,14067236,+,8,0,8,known,chr13:14059741-14067236
sample_1_Aligned.sortedByCoord.out,chr5,15247136,15255982,-,13,1,14,novel,chr5:15247136-15255982
sample_1_Aligned.sortedByCoord.out,chr9,23630283,23632478,+,3,4,7,novel,chr9:23630283-23632478
sample_1_Aligned.sortedByCoord.out,chr3,40857316,40861099,+,13,2,15,known,chr3:40857316-40861099
sample_1_Aligned.sortedByCoord.out,chr16,27371865,27377419,-,12,2,14,known,chr16:27371865-27377419
sample_1_Aligned.sortedByCoord.out,chr5,30476684,30485278,-,10,1,11,known,chr5:30476684-30485278
sample_1_Aligned.sortedByCoord.out,chr11,13507293,13513781,+,9,3,12,novel,chr11:13507293-13513781
sample_1_Aligned.sortedByCoord.out,chr16,28314415,28321195,-,7,3,10,novel,chr16:28314415-28321195
sample_1_Aligned.sortedByCoord.out,chr14,21617463,21619931,-,11,1,12,known,chr14:21617463-21619931
sample_1_Aligned.sortedByCoord.out,chr2,48377287,48387271,-,11,2,13,novel,chr2:48377287-48387271
sample_1_Aligned.sortedByCoord.out,chr4,19327487,19328269,+,13,1,14,known,chr4:19327487-19328269
sample_1_Aligned.sortedByCoord.out,chr6,22536031,22540419,-,12,5,17,known,chr6:22536031-22540419
sample_1_Aligned.sortedByCoord.out,chr4,41033557,41039729,-,7,2,9,known,chr4:41033557-41039729
sample_1_Aligned.sortedByCoord.out,chr22,16712875,16718749,-,10,2,12,known,chr22:16712875-16718749
sample_1_Aligned.sortedByCoord.out,chr1,3643481,3652102,+,11,3,14,known,chr1:3643481-3652102
sample_1_Aligned.sortedByCoord.out,chr17,18900460,18902340,+,7,2,9,known,chr17:18900460-18902340
sample_1_Aligned.sortedByCoord.out,chr10,22997288,23006469,+,12,1,13,novel,chr10:22997288-23006469
sample_1_Aligned.sortedByCoord.out,chr16,3840677,3843888,-,8,0,8,known,chr16:3840677-3843888
sample_1_Aligned.sortedByCoord.out,chr22,35707587,35714314,-,12,4,16,novel,chr22:35707587-35714314
sample_1_Aligned.sortedByCoord.out,chr21,43991710,43997969,+,12,0,12,known,chr21:43991710-43997969
sample_1_Aligned.sortedByCoord.out,chr5,23978895,23988711,+,7,5,12,known,chr5:23978895-23988711
sample_1_Aligned.sortedByCoord.out,chr14,16778219,16779466,-,7,4,11,novel,chr14:16778219-16779466
sample_1_Aligned.sortedByCoord.out,chr17,24273738,24279485,-,11,2,13,known,chr17:24273738-24279485
sample_1_Aligned.sortedByCoord.out,chr7,5300261,5309025,-,14,2,16,known,chr7:5300261-5309025
sample_1_Aligned.sortedByCoord.out,chr3,14696349,14703917,+,13,1,14,known,chr3:14696349-14703917
sample_1_Aligned.sortedByCoord.out,chr4,9575455,9578731,-,8,2,10,known,chr4:9575455-9578731
sample_1_Aligned.sortedByCoord.out,chr22,4634847,4638172,-,15,1,16,known,chr22:4634847-4638172
sample_1_Aligned.sortedByCoord.out,chr1,31106332,31115543,+,16,2,18,known,chr1:31106332-31115543
sample_1_Aligned.sortedByCoord.out,chr14,44430311,44435347,-,16,4,20,known,chr14:44430311-44435347
sample_1_Aligned.sortedByCoord.out,chr3,30315828,30324386,+,9,1,10,known,chr3:30315828-30324386
sample_1_Aligned.sortedByCoord.out,chr21,33029432,33036747,+,12,4,16,known,chr21:33029432-33036747
sample_1_Aligned.sortedByCoord.out,chr21,49248005,49256080,-,12,2,14,novel,chr21:49248005-49256080
sample_1_Aligned.sortedByCoord.out,chr12,25662191,25662759,-,12,2,14,novel,chr12:25662191-25662759
sample_1_Aligned.sortedByCoord.out,chr4,10530959,10535474,-,9,1,10,known,chr4:10530959-10535474
sample_1_Aligned.sortedByCoord.out,chr15,24204371,24208573,+,10,1,11,known,chr15:24204371-24208573
sample_1_Aligned.sortedByCoord.out,chr11,43737375,43740104,-,9,2,11,novel,chr11:43737375-43740104
sample_1_Aligned.sortedByCoord.out,chr13,16058512,16066492,-,6,2,8,known,chr13:16058512-16066492
sample_1_Aligned.sortedByCoord.out,chr14,9188562,9198251,-,7,2,9,known,chr14:9188562-9198251
sample_1_Aligned.sortedByCoord.out,chr8,32961259,32966065,-,6,2,8,known,chr8:32961259-32966065
sample_1_Aligned.sortedByCoord.out,chr13,44687172,44688943,+,12,2,14,novel,chr13:44687172-44688943
sample_1_Aligned.sortedByCoord.out,chr10,43020855,43027148,+,11,3,14,novel,chr10:43020855-43027148
sample_1_Aligned.sortedByCoord.out,chr20,46214816,46217292,+,13,1,14,known,chr20:46214816-46217292
sample_1_Aligned.sortedByCoord.out,chr10,44521490,44522020,+,7,3,10,known,chr10:44521490-44522020
sample_1_Aligned.sortedByCoord.out,chr1,25035735,25042655,+,11,2,13,known,chr1:25035735-25042655
sample_1_Aligned.sortedByCoord.out,chr12,11268992,11271134,-,11,6,17,known,chr12:11268992-11271134
sample_1_Aligned.sortedByCoord.out,chr6,29539598,29540365,-,14,1,15,novel,chr6:29539598-29540365
sample_1_Aligned.sortedByCoord.out,chr18,41210816,41215108,+,13,1,14,known,chr18:41210816-41215108
sample_1_Aligned.sortedByCoord.out,chr22,14795680,14802945,-,11,2,13,known,chr22:14795680-14802945
sample_1_Aligned.sortedByCoord.out,chr9,8439405,8440366,+,11,3,14,known,chr9:8439405-8440366
sample_1_Aligned.sortedByCoord.out,chr2,27597338,27604026,-,9,2,11,known,chr2:27597338-27604026
sample_1_Aligned.sortedByCoord.out,chr6,22588700,22592005,+,8,6,14,known,chr6:22588700-22592005
sample_1_Aligned.sortedByCoord.out,chr1,5689771,5697804,-,15,2,17,novel,chr1:5689771-5697804
sample_1_Aligned.sortedByCoord.out,chr11,46849745,46853076,+,11,6,17,known,chr11:46849745-46853076
sample_1_Aligned.sortedByCoord.out,chr15,40438857,40446304,-,10,2,12,known,chr15:40438857-40446304
sample_1_Aligned.sortedByCoord.out,chr16,48131672,48131909,-,10,1,11,known,chr16:48131672-48131909
sample_1_Aligned.sortedByCoord.out,chr16,48102320,48110098,-,9,1,10,known,chr16:48102320-48110098
sample_1_Aligned.sortedByCoord.out,chr8,24511789,24512841,-,6,7,13,known,chr8:24511789-24512841
sample_1_Aligned.sortedByCoord.out,chr8,7510906,7512530,+,6,3,9,known,chr8:7510906-7512530
sample_1_Aligned.sortedByCoord.out,chr11,49054359,49059410,-,13,2,15,novel,chr11:49054359-49059410
sample_1_Aligned.sortedByCoord.out,chr15,38244808,38254621,-,10,2,12,novel,chr15:38244808-38254621
sample_1_Aligned.sortedByCoord.out,chr3,1542899,1546016,-,12,4,16,known,chr3:1542899-1546016
sample_1_Aligned.sortedByCoord.out,chr9,3307497,3311276,+,8,2,10,known,chr9:3307497-3311276
sample_1_Aligned.sortedByCoord.out,chr3,39355671,39360729,-,14,2,16,known,chr3:39355671-39360729
sample_1_Aligned.sortedByCoord.out,chr4,4844275,4850382,-,14,1,15,known,chr4:4844275-4850382
sample_1_Aligned.sortedByCoord.out,chr8,37004688,37013244,-,8,3,11,known,chr8:37004688-37013244
sample_1_Aligned.sortedByCoord.out,chr3,5555970,5565775,-,10,4,14,known,chr3:5555970-5565775
sample_1_Aligned.sortedByCoord.out,chr7,48654732,48663190,+,14,1,15,known,chr7:48654732-48663190
sample_1_Aligned.sortedByCoord.out,chr2,42025220,42028034,-,13,1,14,known,chr2:42025220-42028034
sample_1_Aligned.sortedByCoord.out,chr13,4548377,4551207,+,7,2,9,known,chr13:4548377-4551207
sample_1_Aligned.sortedByCoord.out,chr1,36769833,36773978,-,9,2,11,known,chr1:36769833-36773978
sample_1_Aligned.sortedByCoord.out,chr10,37486069,37490861,-,11,2,13,known,chr10:37486069-37490861
sample_1_Aligned.sortedByCoord.out,chr4,21115534,21116899,-,10,3,13,known,chr4:21115534-21116899
sample_1_Aligned.sortedByCoord.out,chr14,47262069,47268789,+,6,5,11,known,chr14:47262069-47268789
sample_1_Aligned.sortedByCoord.out,chr3,39137354,39141884,+,7,1,8,novel,chr3:39137354-39141884
sample_1_Aligned.sortedByCoord.out,chr17,22284929,22286796,-,10,2,12,novel,chr17:22284929-22286796
sample_1_Aligned.sortedByCoord.out,chr3,20049279,20055458,-,10,0,10,known,chr3:20049279-20055458
sample_1_Aligned.sortedByCoord.out,chr21,30555881,30560564,-,14,5,19,known,chr21:30555881-30560564
sample_1_Aligned.sortedByCoord.out,chr20,49411020,49419919,+,14,0,14,known,chr20:49411020-49419919
sample_1_Aligned.sortedByCoord.out,chr10,26601544,26606801,+,14,2,16,known,chr10:26601544-26606801
sample_1_Aligned.sortedByCoord.out,chr14,44301873,44303804,+,9,2,11,known,chr14:44301873-44303804
sample_1_Aligned.sortedByCoord.out,chr12,3733933,3736986,-,9,0,9,known,chr12:3733933-3736986
sample_1_Aligned.sortedByCoord.out,chr12,14808250,14813834,-,8,2,10,known,chr12:14808250-14813834
sample_1_Aligned.sortedByCoord.out,chr10,12925212,12926925,-,7,2,9,known,chr10:12925212-12926925
sample_1_Aligned.sortedByCoord.out,chr1,47198764,47201209,+,16,3,19,known,chr1:47198764-47201209
sample_1_Aligned.sortedByCoord.out,chr3,44089179,44094537,+,8,4,12,known,chr3:44089179-44094537
sample_1_Aligned.sortedByCoord.out,chr22,21274922,21281419,-,9,0,9,known,chr22:21274922-21281419
sample_1_Aligned.sortedByCoord.out,chr3,5049944,5051073,+,15,0,15,known,chr3:5049944-5051073
sample_1_Aligned.sortedByCoord.out,chr6,21544570,21550550,-,11,3,14,known,chr6:21544570-21550550
sample_1_Aligned.sortedByCoord.out,chr18,24314082,24318018,-,8,1,9,known,chr18:24314082-24318018
sample_1_Aligned.sortedByCoord.out,chr12,6543633,6552810,+,7,3,10,novel,chr12:6543633-6552810
sample_1_Aligned.sortedByCoord.out,chr14,17551418,17557467,-,9,3,12,known,chr14:17551418-17557467
sample_1_Aligned.sortedByCoord.out,chr1,40722485,40725932,+,9,2,11,known,chr1:40722485-40725932
sample_1_Aligned.sortedByCoord.out,chr1,3286092,3293637,+,9,1,10,known,chr1:3286092-3293637
sample_1_Aligned.sortedByCoord.out,chr10,10129384,10138584,-,8,0,8,known,chr10:10129384-10138584
sample_1_Aligned.sortedByCoord.out,chr1,44173814,44182207,+,11,1,12,known,chr1:44173814-44182207
sample_1_Aligned.sortedByCoord.out,chr2,16435120,16437406,+,10,3,13,known,chr2:16435120-16437406
sample_1_Aligned.sortedByCoord.out,chr18,43917102,43918510,-,18,0,18,known,chr18:43917102-43918510
sample_1_Aligned.sortedByCoord.out,chr21,18633691,18643165,-,3,4,7,known,chr21:18633691-18643165
sample_1_Aligned.sortedByCoord.out,chr11,3259685,3260328,+,8,0,8,known,chr11:3259685-3260328
sample_1_Aligned.sortedByCoord.out,chr1,34980559,34985338,+,9,0,9,known,chr1:34980559-34985338
sample_1_Aligned.sortedByCoord.out,chr2,24389439,24391509,-,5,0,5,novel,chr2:24389439-24391509
sample_1_Aligned.sortedByCoord.out,chr14,7829322,7835300,+,12,2,14,known,chr14:7829322-7835300
sample_1_Aligned.sortedByCoord.out,chr19,41018204,41027459,-,9,4,13,known,chr19:41018204-41027459
sample_1_Aligned.sortedByCoord.out,chr2,27605745,27610908,-,11,4,15,known,chr2:27605745-27610908
sample_1_Aligned.sortedByCoord.out,chr5,38526247,38535904,-,10,2,12,novel,chr5:38526247-38535904
sample_1_Aligned.sortedByCoord.out,chr1,15119606,15120444,-,13,1,14,novel,chr1:15119606-15120444
sample_1_Aligned.sortedByCoord.out,chr13,41801378,41802074,-,10,0,10,known,chr13:41801378-41802074
sample_1_Aligned.sortedByCoord.out,chr8,14142592,14151800,+,4,3,7,known,chr8:14142592-14151800
sample_1_Aligned.sortedByCoord.out,chr2,48933130,48935840,+,10,1,11,known,chr2:48933130-48935840
sample_1_Aligned.sortedByCoord.out,chr21,25752745,25757162,+,9,4,13,known,chr21:25752745-25757162
sample_1_Aligned.sortedByCoord.out,chr12,32126109,32131086,-,9,2,11,novel,chr12:32126109-32131086
sample_1_Aligned.sortedByCoord.out,chr18,44489509,44498514,+,9,3,12,novel,chr18:44489509-44498514
sample_1_Aligned.sortedByCoord.out,chr3,37681050,37690094,-,7,7,14,novel,chr3:37681050-37690094
sample_1_Aligned.sortedByCoord.out,chr11,37292189,37297331,+,11,1,12,known,chr11:37292189-37297331
sample_1_Aligned.sortedByCoord.out,chr20,14479903,14480636,+,11,4,15,known,chr20:14479903-14480636
sample_1_Aligned.sortedByCoord.out,chr9,43971423,43975092,+,6,1,7,known,chr9:43971423-43975092
sample_1_Aligned.sortedByCoord.out,chr18,37716381,37725907,-,10,1,11,known,chr18:37716381-37725907
sample_1_Aligned.sortedByCoord.out,chr5,48028800,48029215,+,8,1,9,known,chr5:48028800-48029215
sample_1_Aligned.sortedByCoord.out,chr7,17168898,17171098,+,15,3,18,known,chr7:17168898-17171098
sample_1_Aligned.sortedByCoord.out,chr5,15598342,15600572,+,10,2,12,known,chr5:15598342-15600572
sample_1_Aligned.sortedByCoord.out,chr8,49491047,49492491,-,10,2,12,known,chr8:49491047-49492491
sample_1_Aligned.sortedByCoord.out,chr9,6559215,6563690,-,9,2,11,known,chr9:6559215-6563690
sample_1_Aligned.sortedByCoord.out,chr9,34214361,34216011,+,12,1,13,known,chr9:34214361-34216011
sample_1_Aligned.sortedByCoord.out,chr21,13822825,13826920,-,12,3,15,known,chr21:13822825-13826920
sample_1_Aligned.sortedByCoord.out,chr9,31253260,31262435,-,16,0,16,known,chr9:31253260-31262435
sample_1_Aligned.sortedByCoord.out,chr13,40804899,40810280,+,6,2,8,known,chr13:40804899-40810280
sample_1_Aligned.sortedByCoord.out,chr8,29704438,29706446,+,12,2,14,known,chr8:29704438-29706446
sample_1_Aligned.sortedByCoord.out,chr22,7011091,7013954,+,6,3,9,known,chr22:7011091-7013954
sample_1_Aligned.sortedByCoord.out,chr13,9879284,9880457,+,10,0,10,known,chr13:9879284-9880457
sample_1_Aligned.sortedByCoord.out,chr2,49282309,49290808,-,12,3,15,known,chr2:49282309-49290808
sample_1_Aligned.sortedByCoord.out,chr1,7847192,7851273,-,16,0,16,known,chr1:7847192-7851273
sample_1_Aligned.sortedByCoord.out,chr4,49924547,49931153,-,10,2,12,known,chr4:49924547-49931153
sample_1_Aligned.sortedByCoord.out,chr3,28170495,28170776,+,7,0,7,known,chr3:28170495-28170776
sample_1_Aligned.sortedByCoord.out,chr21,44893561,44899401,-,9,1,10,known,chr21:44893561-44899401
sample_1_Aligned.sortedByCoord.out,chr8,27484244,27492324,-,12,1,13,known,chr8:27484244-27492324
sample_1_Aligned.sortedByCoord.out,chr8,49523463,49523944,+,11,2,13,known,chr8:49523463-49523944
sample_1_Aligned.sortedByCoord.out,chr8,21230091,21234097,+,12,1,13,known,chr8:21230091-21234097
sample_1_Aligned.sortedByCoord.out,chr1,9357861,9361211,+,10,0,10,known,chr1:9357861-9361211
sample_1_Aligned.sortedByCoord.out,chr6,37141710,37150865,-,3,6,9,known,chr6:37141710-37150865
sample_1_Aligned.sortedByCoord.out,chr9,38121255,38122585,-,5,5,10,known,chr9:38121255-38122585
sample_1_Aligned.sortedByCoord.out,chr5,25697976,25705754,+,8,1,9,novel,chr5:25697976-25705754
sample_1_Aligned.sortedByCoord.out,chr12,16652416,16660953,+,14,2,16,known,chr12:16652416-16660953
sample_1_Aligned.sortedByCoord.out,chr17,24435562,24443966,+,14,2,16,known,chr17:24435562-24443966
sample_1_Aligned.sortedByCoord.out,chr11,23737002,23739746,+,13,1,14,known,chr11:23737002-23739746
sample_1_Aligned.sortedByCoord.out,chr20,37538673,37545771,-,14,2,16,known,chr20:37538673-37545771
sample_1_Aligned.sortedByCoord.out,chr16,20731224,20732543,-,4,4,8,novel,chr16:20731224-20732543
sample_1_Aligned.sortedByCoord.out,chr20,48455630,48459503,+,11,2,13,known,chr20:48455630-48459503
sample_1_Aligned.sortedByCoord.out,chr2,36862561,36867234,+,13,0,13,known,chr2:36862561-36867234
sample_1_Aligned.sortedByCoord.out,chr8,46804598,46810165,-,9,4,13,known,chr8:46804598-46810165
sample_1_Aligned.sortedByCoord.out,chr9,19224641,19232417,+,4,2,6,known,chr9:19224641-19232417
sample_1_Aligned.sortedByCoord.out,chr11,10563832,10568572,+,7,3,10,known,chr11:10563832-10568572
sample_1_Aligned.sortedByCoord.out,chr12,16806780,16810251,-,9,3,12,known,chr12:16806780-16810251
sample_1_Aligned.sortedByCoord.out,chr11,24074498,24076314,-,13,2,15,novel,chr11:24074498-24076314
sample_1_Aligned.sortedByCoord.out,chr7,44256232,44264404,+,6,0,6,known,chr7:44256232-44264404
sample_1_Aligned.sortedByCoord.out,chr20,3579283,3585752,-,9,2,11,known,chr20:3579283-3585752
sample_1_Aligned.sortedByCoord.out,chr2,22187770,22188820,+,11,1,12,known,chr2:22187770-22188820
sample_1_Aligned.sortedByCoord.out,chr3,35607079,35610895,-,6,3,9,known,chr3:35607079-35610895
sample_1_Aligned.sortedByCoord.out,chr21,3259116,3264735,+,7,2,9,known,chr21:3259116-3264735
sample_1_Aligned.sortedByCoord.out,chr13,42644460,42645672,-,12,2,14,novel,chr13:42644460-42645672
sample_1_Aligned.sortedByCoord.out,chr1,9210712,9219278,-,11,1,12,known,chr1:9210712-9219278
sample_1_Aligned.sortedByCoord.out,chr6,11983442,11987449,+,10,0,10,known,chr6:11983442-11987449
sample_1_Aligned.sortedByCoord.out,chr3,35140903,35142004,+,9,2,11,known,chr3:35140903-35142004
sample_1_Aligned.sortedByCoord.out,chr21,46457032,46466908,+,18,2,20,known,chr21:46457032-46466908
sample_1_Aligned.sortedByCoord.out,chr2,44744066,44748583,+,6,3,9,known,chr2:44744066-44748583
sample_1_Aligned.sortedByCoord.out,chr6,7249991,7251940,-,15,1,16,novel,chr6:7249991-7251940
sample_1_Aligned.sortedByCoord.out,chr5,46037366,46047053,+,10,6,16,known,chr5:46037366-46047053
sample_1_Aligned.sortedByCoord.out,chr15,48480964,48489931,+,11,3,14,known,chr15:48480964-48489931
sample_1_Aligned.sortedByCoord.out,chr7,19913409,19915107,+,15,2,17,novel,chr7:19913409-19915107
